age_days,variable,q05,q50,q95
1.0,phase_mass__Al(OH)3am,0.0,0.0,0.0006925207375742
1.0,phase_mass__Anhydrite,0.0,0.0,0.0
1.0,phase_mass__Aragonite,0.0,0.0,0.0
1.0,phase_mass__Brucite,0.0002141856311392,0.0,0.0
1.0,phase_mass__C2AH75,0.0,0.0,0.0
1.0,phase_mass__C2ASH55,0.0,0.0,0.0
1.0,phase_mass__C3(AF)S0.84H,0.000721667130066,0.0013211005692489,0.001145148005088
1.0,phase_mass__C3AH6,0.0,0.0,0.0
1.0,phase_mass__C4AH11,0.0,0.0,0.0
1.0,phase_mass__C4AH13,0.0,0.0,0.0
1.0,phase_mass__C4AH19,0.0,0.0,0.0
1.0,phase_mass__C4Ac0.5H105,0.0,0.0,0.0
1.0,phase_mass__C4Ac0.5H12,0.0,0.0,0.0
1.0,phase_mass__C4Ac0.5H9,0.0,0.0,0.0
1.0,phase_mass__C4AcH11,0.0,0.0,0.0
1.0,phase_mass__C4AcH9,0.0,0.0,0.0
1.0,phase_mass__C4AsH105,0.0,0.0,0.0
1.0,phase_mass__C4AsH12,0.0,0.0,0.0
1.0,phase_mass__C4AsH14,0.0,0.0,0.0
1.0,phase_mass__C4AsH16,0.0,0.0,0.0
1.0,phase_mass__C4AsH9,0.0,0.0,0.0
1.0,phase_mass__C6AsH13,0.0,0.0,0.0
1.0,phase_mass__C6AsH9,0.0,0.0,0.0
1.0,phase_mass__CAH10,0.0,0.0,0.0
1.0,phase_mass__CO3_SO4_AFt,0.0,0.0,0.0
1.0,phase_mass__CSHQ,0.0075700870380502,0.0069767841012244,0.0072618280108395
1.0,phase_mass__Calcite,0.0,0.0,0.0
1.0,phase_mass__Friedels,0.0,0.0,0.0
1.0,phase_mass__Gypsum,0.0,0.0,0.0
1.0,phase_mass__Kuzels,0.0,0.0,0.0
1.0,phase_mass__MSH,0.0,0.000490076611423,0.0006517818471247
1.0,phase_mass__MgAl-OH-LDH,0.0,0.0,0.0
