obs_uid,paper_doi,mix_uid,quantity,phase_name,age_d,method,grade,assumptions,source_locator,fig_only,extraction_confidence,obs,model,offset_b,r,sigma_obs,sigma_model,z,usable
10.1016/j.cemconcomp.2021.104162::mix_GU_X::CH_TGA::dig47a33db94,10.1016/j.cemconcomp.2021.104162,10.1016/j.cemconcomp.2021.104162::mix_GU_X,CH_TGA,,28.0,unspecified,A,,Fig. 2,1,medium,11.3,24.4283199201029,0.0,13.1283199201029,,2.5,,True
10.1016/j.cemconres.2014.06.007::C10_REF::CH_TGA::dig42d53c160,10.1016/j.cemconres.2014.06.007,10.1016/j.cemconres.2014.06.007::C10_REF,CH_TGA,,28.0,unspecified,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 7,1,medium,15.0,25.3168199926097,0.0,10.316819992609702,,2.5,,True
10.1016/j.cemconres.2014.06.007::C1_REF::CH_TGA::dig43fe83ced,10.1016/j.cemconres.2014.06.007,10.1016/j.cemconres.2014.06.007::C1_REF,CH_TGA,,28.0,unspecified,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 7,1,medium,15.9,25.3168199926097,0.0,9.416819992609701,,2.5,,True
10.1016/j.cemconres.2021.106643::30_PFA_wb0_4::CH_TGA::7,10.1016/j.cemconres.2021.106643,10.1016/j.cemconres.2021.106643::30_PFA_wb0_4,CH_TGA,,28.0,unspecified,A,,Table 3,0,high,12.0,22.6932853744411,0.0,10.6932853744411,,2.5,,True
10.1016/j.cemconres.2021.106643::CEM_I_52_5R_wb0_4::CH_TGA::3,10.1016/j.cemconres.2021.106643,10.1016/j.cemconres.2021.106643::CEM_I_52_5R_wb0_4,CH_TGA,,28.0,unspecified,A,,Table 3,0,high,15.3,22.6932853744411,0.0,7.393285374441099,,2.5,,True
10.1016/j.cemconres.2021.106693::LC3_CCK20::CH_TGA::dig48dc378d2,10.1016/j.cemconres.2021.106693,10.1016/j.cemconres.2021.106693::LC3_CCK20,CH_TGA,,28.0,unspecified,A,,Fig. 3,1,medium,7.5,24.4283199201029,0.0,16.9283199201029,,2.5,,True
10.1016/j.cemconres.2021.106693::LC3_CCK40::CH_TGA::dig4b3ea4eec,10.1016/j.cemconres.2021.106693,10.1016/j.cemconres.2021.106693::LC3_CCK40,CH_TGA,,28.0,unspecified,A,,Fig. 3,1,medium,4.3,24.4283199201029,0.0,20.1283199201029,,2.5,,True
10.1016/j.cemconres.2021.106693::LC3_CCK47::CH_TGA::dig480ee8f24,10.1016/j.cemconres.2021.106693,10.1016/j.cemconres.2021.106693::LC3_CCK47,CH_TGA,,28.0,unspecified,A,,Fig. 3,1,medium,3.6,24.4283199201029,0.0,20.8283199201029,,2.5,,True
10.1016/j.cemconres.2021.106693::LC3_CCK63::CH_TGA::dig47eb7542c,10.1016/j.cemconres.2021.106693,10.1016/j.cemconres.2021.106693::LC3_CCK63,CH_TGA,,28.0,unspecified,A,,Fig. 3,1,medium,2.7,24.4283199201029,0.0,21.7283199201029,,2.5,,True
10.1016/j.cemconres.2021.106693::LC3_CCK71::CH_TGA::dig4916f2f5e,10.1016/j.cemconres.2021.106693,10.1016/j.cemconres.2021.106693::LC3_CCK71,CH_TGA,,28.0,unspecified,A,,Fig. 3,1,medium,2.2,24.4283199201029,0.0,22.2283199201029,,2.5,,True
10.1016/j.cemconres.2021.106693::LC3_CCK95::CH_TGA::dig43865d1ff,10.1016/j.cemconres.2021.106693,10.1016/j.cemconres.2021.106693::LC3_CCK95,CH_TGA,,28.0,unspecified,A,,Fig. 3,1,medium,1.6,24.4283199201029,0.0,22.8283199201029,,2.5,,True
10.1016/j.conbuildmat.2019.04.033::0%_carbonation::CH_TGA::17,10.1016/j.conbuildmat.2019.04.033,10.1016/j.conbuildmat.2019.04.033::0%_carbonation,CH_TGA,,28.0,fixed_temperature_range,A,,Table 2,0,high,10.7,24.4283199201029,0.0,13.728319920102901,,2.5,,True
10.1016/j.conbuildmat.2019.04.033::0%_standard::CH_TGA::16,10.1016/j.conbuildmat.2019.04.033,10.1016/j.conbuildmat.2019.04.033::0%_standard,CH_TGA,,28.0,fixed_temperature_range,A,,Table 2,0,high,15.7,24.4283199201029,0.0,8.728319920102901,,2.5,,True
10.1016/j.conbuildmat.2019.04.033::FA_carbonation::CH_TGA::21,10.1016/j.conbuildmat.2019.04.033,10.1016/j.conbuildmat.2019.04.033::FA_carbonation,CH_TGA,,28.0,fixed_temperature_range,A,,Table 2,0,high,8.0,24.4283199201029,0.0,16.4283199201029,,2.5,,True
10.1016/j.conbuildmat.2019.04.033::FA_standard::CH_TGA::20,10.1016/j.conbuildmat.2019.04.033,10.1016/j.conbuildmat.2019.04.033::FA_standard,CH_TGA,,28.0,fixed_temperature_range,A,,Table 2,0,high,12.3,24.4283199201029,0.0,12.1283199201029,,2.5,,True
10.1016/j.conbuildmat.2019.04.033::LP_carbonation::CH_TGA::19,10.1016/j.conbuildmat.2019.04.033,10.1016/j.conbuildmat.2019.04.033::LP_carbonation,CH_TGA,,28.0,fixed_temperature_range,A,,Table 2,0,high,7.8,24.4283199201029,0.0,16.6283199201029,,2.5,,True
10.1016/j.conbuildmat.2019.04.033::LP_standard::CH_TGA::18,10.1016/j.conbuildmat.2019.04.033,10.1016/j.conbuildmat.2019.04.033::LP_standard,CH_TGA,,28.0,fixed_temperature_range,A,,Table 2,0,high,12.0,24.4283199201029,0.0,12.4283199201029,,2.5,,True
10.1016/j.conbuildmat.2020.121290::OPC::CH_TGA::dig4c8e85942,10.1016/j.conbuildmat.2020.121290,10.1016/j.conbuildmat.2020.121290::OPC,CH_TGA,,28.0,unspecified,A,,Fig. 6,1,medium,19.6,19.082354406124598,0.0,-0.5176455938754039,,2.5,,True
10.1016/j.conbuildmat.2022.128529::BC-cem::CH_TGA::dig4a9481f62,10.1016/j.conbuildmat.2022.128529,10.1016/j.conbuildmat.2022.128529::BC-cem,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 10,1,medium,19.4,24.8064316410332,0.0,5.406431641033201,,2.5,,True
10.1016/j.conbuildmat.2022.128529::FA-cem::CH_TGA::dig43e377082,10.1016/j.conbuildmat.2022.128529,10.1016/j.conbuildmat.2022.128529::FA-cem,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 10,1,medium,21.7,24.8064316410332,0.0,3.1064316410332005,,2.5,,True
10.1016/j.conbuildmat.2022.128529::HPA-cem::CH_TGA::dig4cdb553cb,10.1016/j.conbuildmat.2022.128529,10.1016/j.conbuildmat.2022.128529::HPA-cem,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 10,1,medium,20.8,24.8064316410332,0.0,4.006431641033199,,2.5,,True
10.1016/j.conbuildmat.2022.128529::PCP (control)::CH_TGA::dig47076fac9,10.1016/j.conbuildmat.2022.128529,10.1016/j.conbuildmat.2022.128529::PCP (control),CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 10,1,medium,21.2,24.8064316410332,0.0,3.6064316410332005,,2.5,,True
10.1016/j.conbuildmat.2022.128529::PGP-cem::CH_TGA::dig4b84cf5c1,10.1016/j.conbuildmat.2022.128529,10.1016/j.conbuildmat.2022.128529::PGP-cem,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 10,1,medium,21.2,24.8064316410332,0.0,3.6064316410332005,,2.5,,True
10.1016/j.conbuildmat.2022.128529::SF-cem::CH_TGA::dig40cffb42b,10.1016/j.conbuildmat.2022.128529,10.1016/j.conbuildmat.2022.128529::SF-cem,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 10,1,medium,17.4,24.8064316410332,0.0,7.406431641033201,,2.5,,True
10.1016/j.conbuildmat.2022.128642::C100::CH_TGA::9,10.1016/j.conbuildmat.2022.128642,10.1016/j.conbuildmat.2022.128642::C100,CH_TGA,,28.0,TGA,A,,Table 6,0,high,22.24,20.097865420199398,0.0,-2.142134579800601,,2.5,,True
10.1016/j.conbuildmat.2023.132300::REF::CH_TGA::dig4a2323a7f,10.1016/j.conbuildmat.2023.132300,10.1016/j.conbuildmat.2023.132300::REF,CH_TGA,,28.0,TGA,A,,Fig. 12,1,medium,16.8,25.9213835560926,0.0,9.1213835560926,,2.5,,True
10.1016/j.conbuildmat.2023.132300::S10F5::CH_TGA::dig44c661305,10.1016/j.conbuildmat.2023.132300,10.1016/j.conbuildmat.2023.132300::S10F5,CH_TGA,,28.0,TGA,A,,Fig. 12,1,medium,10.9,25.9213835560926,0.0,15.0213835560926,,2.5,,True
10.1016/j.conbuildmat.2023.132300::S15F5::CH_TGA::dig4d72be92f,10.1016/j.conbuildmat.2023.132300,10.1016/j.conbuildmat.2023.132300::S15F5,CH_TGA,,28.0,TGA,A,,Fig. 12,1,medium,9.7,25.9213835560926,0.0,16.2213835560926,,2.5,,True
10.1016/j.conbuildmat.2023.132300::S20F10::CH_TGA::dig41575d6f4,10.1016/j.conbuildmat.2023.132300,10.1016/j.conbuildmat.2023.132300::S20F10,CH_TGA,,28.0,TGA,A,,Fig. 12,1,medium,6.7,25.9213835560926,0.0,19.2213835560926,,2.5,,True
10.1016/j.conbuildmat.2023.132300::S30F10::CH_TGA::dig40d517750,10.1016/j.conbuildmat.2023.132300,10.1016/j.conbuildmat.2023.132300::S30F10,CH_TGA,,28.0,TGA,A,,Fig. 12,1,medium,2.2,25.9213835560926,0.0,23.7213835560926,,2.5,,True
10.1016/j.conbuildmat.2023.132300::S30F15::CH_TGA::dig418f7d8c6,10.1016/j.conbuildmat.2023.132300,10.1016/j.conbuildmat.2023.132300::S30F15,CH_TGA,,28.0,TGA,A,,Fig. 12,1,medium,1.4,25.9213835560926,0.0,24.5213835560926,,2.5,,True
10.1016/j.jece.2024.114543::C30L15::CH_TGA::dig44d10dda3,10.1016/j.jece.2024.114543,10.1016/j.jece.2024.114543::C30L15,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 8,1,medium,7.3,25.3168199926097,0.0,18.0168199926097,,2.5,,True
10.1016/j.jece.2024.114543::L15::CH_TGA::dig4657ce74d,10.1016/j.jece.2024.114543,10.1016/j.jece.2024.114543::L15,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 8,1,medium,18.7,25.3168199926097,0.0,6.616819992609702,,2.5,,True
10.1016/j.jece.2024.114543::OPC::CH_TGA::dig4d35a5d09,10.1016/j.jece.2024.114543,10.1016/j.jece.2024.114543::OPC,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 8,1,medium,19.3,25.3168199926097,0.0,6.016819992609701,,2.5,,True
10.1016/j.jece.2024.114543::Q30::CH_TGA::dig4232ccfb4,10.1016/j.jece.2024.114543,10.1016/j.jece.2024.114543::Q30,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 8,1,medium,14.5,25.3168199926097,0.0,10.816819992609702,,2.5,,True
10.1016/j.jece.2024.114543::S20C10L15::CH_TGA::dig47128fe0b,10.1016/j.jece.2024.114543,10.1016/j.jece.2024.114543::S20C10L15,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 8,1,medium,4.6,25.3168199926097,0.0,20.7168199926097,,2.5,,True
10.1016/j.jece.2024.114543::S30::CH_TGA::dig4b6bbffdb,10.1016/j.jece.2024.114543,10.1016/j.jece.2024.114543::S30,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 8,1,medium,5.9,25.3168199926097,0.0,19.416819992609703,,2.5,,True
10.1016/j.jece.2024.114543::S30L15::CH_TGA::dig4dd2dbd7f,10.1016/j.jece.2024.114543,10.1016/j.jece.2024.114543::S30L15,CH_TGA,,28.0,TGA,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 8,1,medium,3.8,25.3168199926097,0.0,21.5168199926097,,2.5,,True
10.1016/j.rineng.2025.104890::OPC::CH_TGA::3,10.1016/j.rineng.2025.104890,10.1016/j.rineng.2025.104890::OPC,CH_TGA,,28.0,TGA,A,,Table A1,0,high,11.78,24.0661052335977,0.0,12.2861052335977,,2.5,,True
