mix_uid,paper_doi,ok,error,dor_source,verdict,by_quantity,n_obs
10.1016/S0008-8846(00)00213-1::wb0.19_FA25.0,10.1016/S0008-8846(00)00213-1,True,,pin,insufficient_data,{'bound_water': 'insufficient_data'},3.0
10.1016/S0008-8846(00)00213-1::wb0.19_FA45.0,10.1016/S0008-8846(00)00213-1,True,,pin,insufficient_data,{'bound_water': 'insufficient_data'},3.0
10.1016/S0008-8846(00)00213-1::wb0.24_FA25.0,10.1016/S0008-8846(00)00213-1,True,,pin,insufficient_data,{'bound_water': 'insufficient_data'},3.0
10.1016/S0008-8846(00)00213-1::wb0.24_FA45.0,10.1016/S0008-8846(00)00213-1,True,,pin,insufficient_data,{'bound_water': 'insufficient_data'},3.0
10.1016/S0008-8846(00)00213-1::wb0.3_FA25.0,10.1016/S0008-8846(00)00213-1,True,,pin,insufficient_data,"{'CH_TGA': 'insufficient_data', 'bound_water': 'insufficient_data'}",6.0
10.1016/S0008-8846(00)00213-1::wb0.3_FA55.0,10.1016/S0008-8846(00)00213-1,True,,pin,insufficient_data,"{'CH_TGA': 'insufficient_data', 'bound_water': 'insufficient_data'}",6.0
10.1016/S0008-8846(00)00213-1::wb0.5_FA25.0,10.1016/S0008-8846(00)00213-1,True,,pin,insufficient_data,{'bound_water': 'insufficient_data'},3.0
10.1016/S0008-8846(00)00213-1::wb0.5_FA55.0,10.1016/S0008-8846(00)00213-1,True,,pin,insufficient_data,"{'CH_TGA': 'insufficient_data', 'bound_water': 'insufficient_data'}",6.0
10.1016/S0008-8846(01)00581-6::10% MK,10.1016/S0008-8846(01)00581-6,False,w_b or curing_temp_C missing,,,{},
10.1016/S0008-8846(01)00581-6::10% SF,10.1016/S0008-8846(01)00581-6,False,w_b or curing_temp_C missing,,,{},
10.1016/S0008-8846(01)00581-6::20% FA,10.1016/S0008-8846(01)00581-6,True,,pin,insufficient_data,{'CH_TGA': 'insufficient_data'},4.0
10.1016/S0008-8846(01)00581-6::20% MK,10.1016/S0008-8846(01)00581-6,False,w_b or curing_temp_C missing,,,{},
10.1016/S0008-8846(01)00581-6::5% MK,10.1016/S0008-8846(01)00581-6,False,w_b or curing_temp_C missing,,,{},
10.1016/S0008-8846(01)00581-6::5% SF,10.1016/S0008-8846(01)00581-6,False,w_b or curing_temp_C missing,,,{},
10.1016/j.cemconcomp.2020.103596::CFN0.5,10.1016/j.cemconcomp.2020.103596,True,,pin,insufficient_data,{'CH_TGA': 'insufficient_data'},3.0
