obs_uid,paper_doi,mix_uid,quantity,phase_name,age_d,method,grade,assumptions,source_locator,fig_only,extraction_confidence,obs,model,offset_b,r,sigma_obs,sigma_model,z,usable
10.1016/j.cemconcomp.2021.104162::mix_GU_X::bound_water::dig44edbd721,10.1016/j.cemconcomp.2021.104162,10.1016/j.cemconcomp.2021.104162::mix_GU_X,bound_water,,28.0,TGA,A,,Fig. 3,1,medium,27.5,27.608180197007194,0.0,0.10818019700719361,1.5,3.0,0.032253103243653894,True
10.1016/j.cemconres.2007.12.001::FA10::bound_water::dig4778e661c,10.1016/j.cemconres.2007.12.001,10.1016/j.cemconres.2007.12.001::FA10,bound_water,,28.0,ignition,A,,Fig. 4,1,medium,13.780000000000001,27.994311149466895,0.0,14.214311149466894,1.5,3.0,4.237888797805486,True
10.1016/j.cemconres.2007.12.001::FA20::bound_water::dig4d0bb8665,10.1016/j.cemconres.2007.12.001,10.1016/j.cemconres.2007.12.001::FA20,bound_water,,28.0,ignition,A,,Fig. 4,1,medium,13.200000000000001,27.994311149466895,0.0,14.794311149466894,1.5,3.0,4.41081138806547,True
10.1016/j.cemconres.2007.12.001::FA5::bound_water::dig4305816d2,10.1016/j.cemconres.2007.12.001,10.1016/j.cemconres.2007.12.001::FA5,bound_water,,28.0,ignition,A,,Fig. 4,1,medium,14.399999999999999,27.994311149466895,0.0,13.594311149466897,1.5,3.0,4.053040511665505,True
10.1016/j.cemconres.2007.12.001::GP10::bound_water::dig40508ed97,10.1016/j.cemconres.2007.12.001,10.1016/j.cemconres.2007.12.001::GP10,bound_water,,28.0,ignition,A,,Fig. 4,1,medium,15.7,27.994311149466895,0.0,12.294311149466896,1.5,3.0,3.665455395565541,True
10.1016/j.cemconres.2007.12.001::GP20::bound_water::dig4d6cd86e4,10.1016/j.cemconres.2007.12.001,10.1016/j.cemconres.2007.12.001::GP20,bound_water,,28.0,ignition,A,,Fig. 4,1,medium,15.0,27.994311149466895,0.0,12.994311149466895,1.5,3.0,3.874155073465521,True
10.1016/j.cemconres.2007.12.001::GP5::bound_water::dig44b7a2f80,10.1016/j.cemconres.2007.12.001,10.1016/j.cemconres.2007.12.001::GP5,bound_water,,28.0,ignition,A,,Fig. 4,1,medium,16.1,27.994311149466895,0.0,11.894311149466894,1.5,3.0,3.5461984367655512,True
10.1016/j.cemconres.2007.12.001::P::bound_water::dig48d4ec673,10.1016/j.cemconres.2007.12.001,10.1016/j.cemconres.2007.12.001::P,bound_water,,28.0,ignition,A,,Fig. 4,1,medium,16.2,27.994311149466895,0.0,11.794311149466896,1.5,3.0,3.516384197065555,True
10.1016/j.conbuildmat.2012.09.087::CEM I::bound_water::dig45e8c72a0,10.1016/j.conbuildmat.2012.09.087,10.1016/j.conbuildmat.2012.09.087::CEM I,bound_water,,28.0,gravimetric bound-water measurement,A,scm_total_pct missing; f_OPC assumed 1; cement basis converted with f_OPC = 1 - scm_total_pct/100,Fig. 3,1,medium,14.0,28.362662839109895,0.0,14.362662839109895,1.5,3.0,4.282118726154646,True
10.1016/j.conbuildmat.2018.09.208::CM_0.4::bound_water::dig4948c9a1b,10.1016/j.conbuildmat.2018.09.208,10.1016/j.conbuildmat.2018.09.208::CM_0.4,bound_water,,28.0,other,A,,Fig. 14,1,medium,17.0,27.608180197007194,0.0,10.608180197007194,1.5,3.0,3.1627482717433595,True
10.1016/j.conbuildmat.2018.09.208::CM_0.5::bound_water::dig45ed6db5b,10.1016/j.conbuildmat.2018.09.208,10.1016/j.conbuildmat.2018.09.208::CM_0.5,bound_water,,28.0,other,A,,Fig. 13,1,medium,17.0,28.427758754642625,0.0,11.427758754642625,1.5,3.0,3.4070993874465665,True
10.1016/j.conbuildmat.2020.121290::OPC::bound_water::dig49878b25f,10.1016/j.conbuildmat.2020.121290,10.1016/j.conbuildmat.2020.121290::OPC,bound_water,,28.0,other,A,,Fig. 6,1,medium,26.5,26.887702400518293,0.0,0.3877024005182932,1.5,3.0,0.11559052301316709,True
10.1016/j.conbuildmat.2022.128642::C100::bound_water::10,10.1016/j.conbuildmat.2022.128642,10.1016/j.conbuildmat.2022.128642::C100,bound_water,,28.0,TGA,A,,Table 6,0,high,28.46,27.02231604322196,0.0,-1.4376839567780415,1.5,3.0,-0.4286345410022094,True
10.1016/j.conbuildmat.2023.132300::REF::bound_water::dig401e8eeb4,10.1016/j.conbuildmat.2023.132300,10.1016/j.conbuildmat.2023.132300::REF,bound_water,,28.0,TGA,A,,Fig. 12,1,medium,41.0,28.94320441461686,0.0,-12.056795585383139,1.5,3.0,-3.594641935964809,True
